"board","x","y","area"
"Albury",146.841,-35.687,4062
"Armidale",151.601,-30.838,17611
"Balranald",143.598,-33.9,20561
"Bathurst",149.783,-33.49,10871
"Berrima",150.241,-34.507,2945
"Bombala",148.875,-36.662,4029
"Bourke",145.564,-29.964,40729
"Braidwood",149.823,-35.438,2931
"Brewarrina",146.898,-29.723,14069
"Broken Hill",141.845,-31.918,43568
"Broulee",150.019,-35.823,2931
"Canonba",147.021,-31.474,16334
"Carcoar",149.114,-33.909,6203
"Casino",152.738,-28.786,6563
"Cobar",145.449,-31.514,32561
"Condobolin",146.769,-32.961,18807
"Coonabarabran",149.27,-31.427,12222
"Coonamble",148.162,-31.034,11334
"Corowa",146.097,-35.755,3276
"Cumberland",150.881,-33.941,2945
"Deniliquin",144.798,-35.44,9623
"Denman",150.585,-32.52,3956
"Dubbo",148.32,-32.132,16581
"Eden",149.65,-36.683,8597
"Forbes",147.803,-33.424,12519
"Glen Innes",152.082,-29.955,7491
"Gloucester",152.075,-32.005,11218
"Goulburn",149.706,-34.657,6526
"Grafton",152.871,-29.785,10367
"Gundagai",148.18,-35.255,8895
"Hay",145.118,-34.148,20775
"Hillston",145.245,-32.932,32050
"Holbrook",147.369,-35.607,6076
"Hume",148.13,-35.997,6643
"Inverell",151.114,-29.814,4868
"Ivanhoe",143.988,-32.58,22030
"Jerilderie",145.584,-35.205,6173
"Kiama",150.643,-34.81,2945
"Maitland",151.464,-32.92,8541
"Merriwa",150.052,-31.931,4479
"Milparinka",141.91,-29.942,31228
"Molong",148.654,-33,8616
"Moree",149.478,-29.254,15631
"Moulamein",143.958,-34.946,8642
"Mudgee",149.661,-32.653,10565
"Narrabri",149.855,-30.299,7966
"Narrandera",146.323,-34.169,12395
"North Walgett",148.149,-29.4,12562
"Picton",150.505,-34.081,2945
"Pilliga",148.958,-30.317,8588
"Port Macquarie",152.586,-31.014,10088
"Queanbeyan",149.092,-35.589,2931
"Singleton",151.193,-32.548,3956
"Sydney",151.197,-33.734,2945
"Tamworth",150.521,-30.992,19643
"Tenterfield",151.945,-29.093,11025
"Tweed-Lismore",153.349,-28.703,4442
"Upper Hunter",151.094,-31.795,4068
"Urana",146.401,-35.131,4776
"Wagga",147.289,-34.651,6076
"Walgett",147.928,-30.231,9628
"Wanaaring",143.84,-29.69,26392
"Warialda",150.485,-29.194,13854
"Wentworth",142.114,-33.514,26575
"Wilcannia",143.492,-31.249,22030
"Windsor",150.693,-33.41,2945
"Yass",148.911,-34.817,6133
"Young",148.244,-34.269,10192
