"board","species","year","bounty_n","bounty_price","first_newspaper"
"Albury","fox",1881,NA,NA,1897
"Albury","fox",1882,NA,NA,1897
"Albury","fox",1883,NA,NA,1897
"Albury","fox",1884,NA,NA,1897
"Albury","fox",1885,NA,NA,1897
"Albury","fox",1886,NA,NA,1897
"Albury","fox",1887,NA,NA,1897
"Albury","fox",1888,NA,NA,1897
"Albury","fox",1889,NA,NA,1897
"Albury","fox",1890,NA,NA,1897
"Albury","fox",1891,NA,NA,1897
"Albury","fox",1892,NA,NA,1897
"Albury","fox",1893,NA,NA,1897
"Albury","fox",1894,3,400,1897
"Albury","fox",1895,2,400,1897
"Albury","fox",1896,2,400,1897
"Albury","fox",1897,23,168,1897
"Albury","fox",1898,96,202,1897
"Albury","fox",1899,156,97,1897
"Albury","fox",1900,415,157,1897
"Albury","fox",1901,1043,179,1897
"Albury","fox",1902,NA,NA,1897
"Albury","fox",1903,NA,NA,1897
"Albury","fox",1904,NA,NA,1897
"Albury","fox",1905,NA,NA,1897
"Albury","fox",1906,NA,NA,1897
"Albury","fox",1907,NA,NA,1897
"Albury","fox",1908,NA,NA,1897
"Albury","fox",1909,NA,NA,1897
"Albury","fox",1910,NA,NA,1897
"Albury","fox",1911,NA,NA,1897
"Albury","fox",1912,NA,NA,1897
"Albury","fox",1913,NA,NA,1897
"Albury","fox",1914,NA,NA,1897
"Albury","fox",1915,NA,NA,1897
"Albury","fox",1916,NA,NA,1897
"Albury","fox",1917,NA,NA,1897
"Albury","fox",1918,NA,NA,1897
"Albury","fox",1919,NA,NA,1897
"Albury","fox",1920,NA,NA,1897
"Albury","fox",1921,NA,NA,1897
"Albury","fox",1922,NA,NA,1897
"Albury","fox",1923,NA,NA,1897
"Albury","fox",1924,NA,NA,1897
"Albury","fox",1925,NA,NA,1897
"Albury","fox",1926,NA,NA,1897
"Albury","fox",1927,NA,NA,1897
"Albury","fox",1928,NA,NA,1897
"Albury","fox",1929,NA,NA,1897
"Albury","fox",1930,NA,NA,1897
"Armidale","fox",1881,NA,NA,1901
"Armidale","fox",1882,NA,NA,1901
"Armidale","fox",1883,NA,NA,1901
"Armidale","fox",1884,NA,NA,1901
"Armidale","fox",1885,NA,NA,1901
"Armidale","fox",1886,NA,NA,1901
"Armidale","fox",1887,NA,NA,1901
"Armidale","fox",1888,NA,NA,1901
"Armidale","fox",1889,NA,NA,1901
"Armidale","fox",1890,NA,NA,1901
