"var","med","lcl","ucl","rhat","ess","spp"
"log_r_d_mean",0.306,0.072,0.813,1.0035,836,"fox"
"log_alpha_mean",4.606,1.806,8.992,1.0033,342,"fox"
"logit_eps_mean",0.003,0.001,0.008,1.0058,253,"fox"
"logit_mu_mean",0.292,0.136,0.952,1.0062,102,"fox"
"sd.r_d",0.427,0.037,1.495,1.0075,940,"fox"
"sd.K",0.122,0.01,0.432,1.0093,643,"fox"
"sd.alpha",0.125,0.01,0.427,1.0162,988,"fox"
"sd.eps",0.119,0.007,0.407,1.0096,671,"fox"
"sd.mu",1.007,0.029,4.986,1.0081,115,"fox"
"size",1.43,1.167,3.025,1.0038,295,"fox"
"sd.process.C",0.443,0.322,0.804,1.0059,377,"fox"
"log_r_d_mean",0.102,0.025,0.392,1.0006,4665,"hare"
"log_alpha_mean",0.546,0.27,1.332,1.0175,355,"hare"
"logit_eps_mean",0.03,0.018,0.047,1.0086,897,"hare"
"logit_mu_mean",0.108,0.046,0.18,1.0023,3943,"hare"
"sd.r_d",1.02,0.053,2.918,1.0061,1678,"hare"
"sd.K",0.426,0.026,1.167,1.0049,898,"hare"
"sd.alpha",0.356,0.03,1.201,1.0042,677,"hare"
"sd.eps",0.43,0.028,1.183,1.0034,907,"hare"
"sd.mu",2.155,0.473,4.291,1.0022,1252,"hare"
"size",1.664,1.414,1.954,1.0002,17584,"hare"
"sd.process.C",0.36,0.288,0.457,1.0002,2880,"hare"
